"Bazel",False,"oss ,  dev-tools",native,"Compatible","5.1",https://github.com/bazelbuild/bazel/releases,bazel.svg,
"BeeLine Reader",False,"accessibility",native,"Compatible","nan",https://www.beelinereader.com/,,
"Beyond Compare",False,"utils-tools",emulation,"Compatible","4.4.7",https://www.scootersoftware.com/download.php,,
"BeyondTrust Bomgar",False,"it",emulation,"Compatible","23.1.0.703",https://www.beyondtrust.com/brand/bomgar,,
"Bible multiversion",False,"books",emulation,"Compatible","1.1.287.0",https://apps.microsoft.com/detail/9pprws532n91,,
"Bing Wallpaper",False,"personal",emulation,"Compatible","2.0.0.5",https://www.microsoft.com/en-in/bing/bing-wallpaper-msn,,
"BitComet",False,"utils-tools",emulation,"Compatible","2.04",https://www.bitcomet.com/en/downloads,,
"Bitdefender Internet Security",False,"security",native,"Compatible","27.0.27.129",https://www.bitdefender.com/solutions/internet-security.html,,
"BitLord",False,"utils-tools",emulation,"Compatible","2.4.6-363",https://downloads.digitaltrends.com/bitlord/windows,,
"Bitrix24",False,"prod",emulation,"Compatible","14.4.0.75",https://www.bitrix24.in/apps/desktop.php,,
"BitTorrent",False,"utils-tools",emulation,"Compatible","1.3.0.5672",https://www.bittorrent.com/products/win/bittorrent-web-compare/,,
"Blender",True,"creative",emulation,"Compatible","4.0.2.0",https://apps.microsoft.com/detail/9pp3c07gtvrh,blender.svg,
"BlueBeam Revu",False,"collboration",emulation,"Compatible","21.0.50",https://subscription-registration.bluebeam.com/,,
"BlueStacks 10",False,"android",emulation,"Compatible","10.5.0.1016",https://www.bluestacks.com/download.html,BlueStacks.png,
"Box",False,"prod",no,"Unsupported",,https://www.box.com/resources/downloads,,
"Brave Browser",True,"web-social",native,"Compatible","1.58.131",https://apps.microsoft.com/detail/xp8c9qzms2pc1t?hl=en-gb&gl=IN,bravebrowser.svg,
"BreeZip: Rar, Zip & 7z Extractor",False,"prod",emulation,"Compatible","1.4.31",https://apps.microsoft.com/detail/9pb13jl37zv4,,
"Browser Pro+",False,"prod",native,"Compatible","1.0.9.0",https://apps.microsoft.com/detail/9p5bk1mj0rdd,,
"BS Player",False,"entertainment",emulation,"Compatible","2.74",https://bsplayer.com/bsplayer-english/download-free.html,,
"Bugs",False,"prod",emulation,"Compatible","1.0.22.0",https://apps.microsoft.com/detail/9pnpzkcmvhlf,,
"BurnInTest Pro",False,"utils-tools",emulation,"Compatible","10.2",https://www.passmark.com/products/burnintest/download.php,,
"Business-in-a-Box",False,"prod",emulation,"Compatible","8.0.6",https://www.business-in-a-box.com/apps/,,
"BuzzSprout",False,"utils-tools",native,"Compatible","nan",https://www.buzzsprout.com/,,
"CAJViewer",False,"utils-tools",emulation,"Compatible","8.1.10",https://cajviewer.cnki.net/download.html,,
"Calculator²",False,"utils-tools",emulation,"Compatible","2022.911.0.0",https://www.microsoft.com/store/productId/9WZDNCRFHWXL?ocid=pdpshare,,
